movieId,imdbId,Title,rating,Genre,UMAP1,UMAP2,Cluster
2,0113497,Jumanji (1995),6.9,Action|Adventure|Family,-0.614161059773696,0.1231444679972222,3
3,0113228,Grumpier Old Men,,Romance|Comedy,-0.2509500817747534,-0.3413076398740232,93
5,0113041,Father of the Bride Part II (1995),5.9,Comedy|Family|Romance,0.1111807597560901,-0.2732948633617153,18
6,0113277,Heat (1995),8.2,Action|Crime|Drama,-0.0879782589696605,-0.310934961708923,18
7,0114319,Sabrina (1995),6.3,Comedy|Drama,0.134065474183968,-0.2928566144214989,18
8,0112302,Tom and Huck,,Family|Action|Adventure|Drama,0.5381295096097723,0.5080046929881057,82
10,0113189,GoldenEye,,Adventure|Action|Thriller,0.2183581563851659,0.3476197351008964,13
12,0112896,Dracula: Dead and Loving It (1995),5.8,Comedy|Fantasy|Horror,0.6529897924987824,-0.3386180255903541,80
14,0113987,Nixon (1995),7.1,Biography|Drama|History,-1.3095965987637097,0.34660192643143,73
16,0112641,Casino (1995),8.2,Crime|Drama,0.1860713457799661,0.5585520866666234,13
17,0114388,Sense and Sensibility (1995),7.7,Drama|Romance,0.6862417625620147,-0.3545241799248769,80
19,0112281,Ace Ventura: When Nature Calls (1995),6.3,Adventure|Comedy|Crime,-0.6111697554371436,0.2726495645867725,47
21,0113161,Get Shorty (1995),6.9,Comedy|Crime|Thriller,-0.1195663495995811,-0.036879737765829,67
22,0112722,Copycat (1995),6.6,Crime|Drama|Mystery,1.3693454535360567,0.7539416479277863,64
23,0112401,Assassins,,Action|Adventure|Crime|Thriller,0.6463760125347464,-0.0095203382087578,2
25,0113627,Leaving Las Vegas (1995),7.6,Drama|Romance,0.5435280536514819,0.2382144350247553,82
26,0114057,Othello,,Drama,-0.4505342814087346,-0.7185649716710616,31
27,0114011,Now and Then (1995),6.8,Comedy|Drama|Romance,1.4118482308621223,0.6025506155428768,64
28,0114117,Persuasion,7.7,Drama,-0.5762745474406533,0.4628964927282538,47
29,0112682,The City of Lost Children (1995),7.7,Fantasy|Sci-Fi,0.0717822655197911,0.030823523673593,65
34,0112431,Babe (1995),6.8,Comedy|Drama|Family,-0.292960573441943,-0.4280771914241833,93
38,0113442,It Takes Two (1995),5.7,Comedy|Family|Romance,-0.2597136294475504,0.3794271421024664,57
39,0112697,Clueless,,Comedy|Romance,-0.1209942005296567,-0.4950272725992526,93
42,0112819,Dead Presidents,,Action|Crime|Drama|Thriller|War,0.2030669884535121,-0.4599754651780461,98
44,0113855,Mortal Kombat (1995),5.8,Action|Adventure|Fantasy,-0.2629609361962535,0.24666705657722,57
46,0113347,How to Make an American Quilt,,Drama|Romance,-0.3794995531715262,-0.1437779766420036,46
47,0114369,Se7en (1995),8.6,Crime|Drama|Mystery,0.0563124083769567,-0.1152115033191834,65
48,0114148,Pocahontas (1995),6.7,Animation|Adventure|Drama,-0.2602412017335725,-0.1072626260533886,67
49,0114916,When Night Is Falling (1995),6.7,Drama|Romance,-1.1567753943401065,0.0565779729332905,38
54,0112499,The Big Green,,Family|Comedy,0.945543800503753,0.0627550855671352,96
57,0113321,Home for the Holidays (1995),6.6,Comedy|Drama|Romance,-0.6862251761634581,-0.6107574070361137,84
58,0110877,Il Postino: The Postman (1994),7.7,Biography|Comedy|Drama,0.1600700921344347,-0.9904733748751126,17
60,0113419,The Indian in the Cupboard (1995),5.9,Drama|Family|Fantasy,0.1563297015670196,0.232968072510246,37
61,0116260,Eye for an Eye (1996),6.1,Crime|Drama|Thriller,-1.7679567572773274,1.7475101981805852,53
62,0113862,Mr. Holland's Opus (1995),7.3,Drama|Music,-0.6255651091947613,-0.3844160213609724,46
64,0118002,Two If by Sea,,Comedy|Romance,0.0172765414542923,0.1052433753002714,4
68,0113149,French Twist,,Comedy|Romance,-1.3180714746661315,-0.8454988555644254,52
70,0116367,From Dusk Till Dawn (1996),7.3,Action|Crime|Horror,0.08281389469288,0.5377762184230575,13
71,0113010,Fair Game,,Action,0.6099845869556899,-0.1600961899031347,2
72,0113537,Kicking and Screaming,,Comedy|Drama|Romance,0.8492478416396866,0.972391152419121,49
74,0115644,Bed of Roses (1996),6.1,Romance|Drama,0.1047926791782609,0.0608775883468484,65
75,0115676,Big Bully (1996),4.5,Comedy|Thriller,0.3435055843959126,0.1222123015738118,37
79,0116731,The Juror (1996),5.6,Drama|Thriller,-0.228002069964142,0.8563456304995611,25
